from	to
1620	55741
1620	25907
57050	301
6477	54468
6477	197258
6477	9709
56061	8450
6388	10899
7323	25996
3312	124583
7873	23753
7873	10168
8745	386617
8745	2893
55218	4303
388662	2827
388662	3489
388662	10890
388662	133619
24141	3321
24141	794
55741	7504
197258	8453
10168	91746
10168	84078
386617	162
4303	23242
4303	11257
3489	4856
3489	91607
3489	81876
3489	116328
3489	63892
7504	5099
7504	128553
7504	55638
23242	11266
116328	3487
116328	654194
116328	301
5099	23648
5099	648149
3487	7422
3487	56901
23648	393
23648	401002
